lId;dtTime;lBoardNumber;ucConveyor;ucProcessingArea;sEvent;dtCreated;ucProcessingMode;lIdSequence;lBoardCompositeId;ucSubConveyor
22222222;2018-02-14 14:08:48.303;0;0;0;6;2018-02-14 14:08:48.317;0;621468;182211;0
22222222;2018-02-14 14:08:46.283;0;0;0;5;2018-02-14 14:08:46.297;0;621464;182210;0
22222222;2018-02-14 14:08:35.897;0;1;1;21;2018-02-14 14:08:35.920;0;621457;182209;0
22222222;2018-02-14 14:08:35.893;0;1;1;24;2018-02-14 14:08:35.913;0;621453;182208;0
22222222;2018-02-14 14:08:35.887;2001;1;1;41;2018-02-14 14:08:35.903;1;621451;182207;0
22222222;2018-02-14 14:08:07.197;0;1;1;25;2018-02-14 14:08:07.207;0;621403;182206;0
22222222;2018-02-14 14:08:07.197;2001;1;1;40;2018-02-14 14:08:07.210;1;621404;182207;0
22222222;2018-02-14 14:08:05.887;0;1;1;22;2018-02-14 14:08:05.903;0;621401;182205;0
22222222;2018-02-14 14:08:05.880;0;1;1;24;2018-02-14 14:08:05.897;0;621399;182204;0
22222222;2018-02-14 14:08:04.680;0;1;1;22;2018-02-14 14:08:04.693;0;621397;182203;0
22222222;2018-02-14 14:07:44.527;0;1;1;24;2018-02-14 14:07:44.547;0;621362;182201;0
22222222;2018-02-14 14:07:44.527;0;1;1;21;2018-02-14 14:07:44.553;0;621366;182202;0
22222222;2018-02-14 14:07:44.517;1999;1;1;41;2018-02-14 14:07:44.540;1;621360;182198;0
22222222;2018-02-14 14:07:18.603;1999;1;1;40;2018-02-14 14:07:18.623;1;621300;182198;0
22222222;2018-02-14 14:07:18.600;0;1;1;25;2018-02-14 14:07:18.620;0;621299;182197;0
22222222;2018-02-14 14:07:17.290;0;1;1;22;2018-02-14 14:07:17.307;0;621297;182196;0
22222222;2018-02-14 14:07:17.287;0;1;1;24;2018-02-14 14:07:17.300;0;621295;182195;0
22222222;2018-02-14 14:07:16.087;0;1;1;22;2018-02-14 14:07:16.100;0;621292;182194;0
22222222;2018-02-14 14:07:06.227;0;1;1;21;2018-02-14 14:07:06.240;0;621267;182190;0
22222222;2018-02-14 14:07:06.223;0;1;1;24;2018-02-14 14:07:06.237;0;621263;182189;0
22222222;2018-02-14 14:07:06.217;1997;1;1;41;2018-02-14 14:07:06.233;1;621261;182181;0
22222222;2018-02-14 14:06:33.893;1997;1;1;40;2018-02-14 14:06:33.903;1;621194;182181;0
22222222;2018-02-14 14:06:33.890;0;1;1;25;2018-02-14 14:06:33.900;0;621193;182180;0
22222222;2018-02-14 14:06:32.567;0;1;1;22;2018-02-14 14:06:32.590;0;621191;182179;0
22222222;2018-02-14 14:06:32.563;0;1;1;24;2018-02-14 14:06:32.583;0;621189;182178;0
22222222;2018-02-14 14:06:31.370;0;1;1;22;2018-02-14 14:06:31.383;0;621182;182176;0
22222222;2018-02-14 14:06:00.113;0;1;1;21;2018-02-14 14:06:00.147;0;621166;182175;0
22222222;2018-02-14 14:06:00.107;0;1;1;24;2018-02-14 14:06:00.137;0;621164;182174;0
22222222;2018-02-14 14:06:00.087;1995;1;1;41;2018-02-14 14:06:00.123;1;621162;182165;0
22222222;2018-02-14 14:05:57.613;0;0;0;20;2018-02-14 14:05:57.623;0;621159;182173;0
22222222;2018-02-14 14:05:34.513;0;0;0;16;2018-02-14 14:05:34.530;0;621128;182166;0
22222222;2018-02-14 14:05:08.887;0;1;1;25;2018-02-14 14:05:08.907;0;621095;182164;0
22222222;2018-02-14 14:05:08.887;1995;1;1;40;2018-02-14 14:05:08.907;1;621096;182165;0
22222222;2018-02-14 14:05:07.560;0;1;1;22;2018-02-14 14:05:07.573;0;621092;182163;0
22222222;2018-02-14 14:05:07.557;0;1;1;24;2018-02-14 14:05:07.567;0;621090;182162;0
22222222;2018-02-14 14:05:06.383;0;1;1;22;2018-02-14 14:05:06.397;0;621088;182161;0
22222222;2018-02-14 14:04:32.090;0;1;1;24;2018-02-14 14:04:32.107;0;621020;182153;0
22222222;2018-02-14 14:04:32.090;0;1;1;21;2018-02-14 14:04:32.113;0;621024;182154;0
22222222;2018-02-14 14:04:32.083;1993;1;1;41;2018-02-14 14:04:32.100;1;621018;182150;0
22222222;2018-02-14 14:04:29.597;0;0;0;20;2018-02-14 14:04:29.620;0;621015;182152;0
22222222;2018-02-14 14:04:10.970;0;0;0;16;2018-02-14 14:04:10.980;0;620981;182151;0
22222222;2018-02-14 14:03:43.777;1993;1;1;40;2018-02-14 14:03:43.787;1;620932;182150;0
22222222;2018-02-14 14:03:43.773;0;1;1;25;2018-02-14 14:03:43.787;0;620931;182149;0
22222222;2018-02-14 14:03:42.463;0;1;1;22;2018-02-14 14:03:42.490;0;620926;182148;0
22222222;2018-02-14 14:03:42.457;0;1;1;24;2018-02-14 14:03:42.480;0;620924;182147;0
22222222;2018-02-14 14:03:41.277;0;1;1;22;2018-02-14 14:03:41.290;0;620920;182146;0
22222222;2018-02-14 14:03:28.307;0;1;1;24;2018-02-14 14:03:28.327;0;620888;182144;0
22222222;2018-02-14 14:03:28.307;0;1;1;21;2018-02-14 14:03:28.333;0;620892;182145;0
22222222;2018-02-14 14:03:28.290;1991;1;1;41;2018-02-14 14:03:28.320;1;620886;182138;0
22222222;2018-02-14 14:03:02.107;0;1;1;25;2018-02-14 14:03:02.123;0;620823;182137;0
22222222;2018-02-14 14:03:02.107;1991;1;1;40;2018-02-14 14:03:02.127;1;620824;182138;0
22222222;2018-02-14 14:03:00.777;0;1;1;22;2018-02-14 14:03:00.793;0;620821;182136;0
22222222;2018-02-14 14:03:00.773;0;1;1;24;2018-02-14 14:03:00.783;0;620819;182135;0
22222222;2018-02-14 14:02:59.617;0;1;1;22;2018-02-14 14:02:59.627;0;620814;182134;0
22222222;2018-02-14 14:02:50.407;0;1;1;21;2018-02-14 14:02:50.430;0;620803;182133;0
22222222;2018-02-14 14:02:50.403;0;1;1;24;2018-02-14 14:02:50.420;0;620799;182132;0
22222222;2018-02-14 14:02:50.393;1989;1;1;41;2018-02-14 14:02:50.417;1;620797;182127;0
22222222;2018-02-14 14:02:23.450;1989;1;1;40;2018-02-14 14:02:23.467;1;620730;182127;0
22222222;2018-02-14 14:02:23.447;0;1;1;25;2018-02-14 14:02:23.463;0;620729;182126;0
22222222;2018-02-14 14:02:22.137;0;1;1;22;2018-02-14 14:02:22.163;0;620726;182125;0
22222222;2018-02-14 14:02:22.133;0;1;1;24;2018-02-14 14:02:22.150;0;620724;182124;0
22222222;2018-02-14 14:02:20.927;0;1;1;22;2018-02-14 14:02:20.940;0;620722;182123;0
22222222;2018-02-14 14:02:10.830;0;1;1;21;2018-02-14 14:02:10.863;0;620704;182122;0
22222222;2018-02-14 14:02:10.827;0;1;1;24;2018-02-14 14:02:10.857;0;620700;182121;0
22222222;2018-02-14 14:02:10.813;1987;1;1;41;2018-02-14 14:02:10.840;1;620698;182120;0
22222222;2018-02-14 14:01:44.903;0;1;1;25;2018-02-14 14:01:44.930;0;620662;182119;0
22222222;2018-02-14 14:01:44.903;1987;1;1;40;2018-02-14 14:01:44.933;1;620663;182120;0
22222222;2018-02-14 14:01:43.590;0;1;1;22;2018-02-14 14:01:43.610;0;620655;182116;0
22222222;2018-02-14 14:01:43.587;0;1;1;24;2018-02-14 14:01:43.600;0;620653;182115;0
22222222;2018-02-14 14:01:42.387;0;1;1;22;2018-02-14 14:01:42.403;0;620647;182112;0
22222222;2018-02-14 14:01:32.827;0;1;1;24;2018-02-14 14:01:32.843;0;620637;182109;0
22222222;2018-02-14 14:01:32.827;0;1;1;21;2018-02-14 14:01:32.850;0;620640;182110;0
22222222;2018-02-14 14:01:32.817;1985;1;1;41;2018-02-14 14:01:32.837;1;620635;182106;0
22222222;2018-02-14 14:01:06.290;0;1;1;25;2018-02-14 14:01:06.310;0;620618;182105;0
22222222;2018-02-14 14:01:06.290;1985;1;1;40;2018-02-14 14:01:06.310;1;620619;182106;0
22222222;2018-02-14 14:01:04.967;0;1;1;22;2018-02-14 14:01:04.980;0;620616;182104;0
22222222;2018-02-14 14:01:04.960;0;1;1;24;2018-02-14 14:01:04.973;0;620614;182103;0
22222222;2018-02-14 14:01:03.753;0;1;1;22;2018-02-14 14:01:03.767;0;620612;182102;0
22222222;2018-02-14 14:00:47.707;0;2;1;21;2018-02-14 14:00:47.727;0;620602;182099;0
22222222;2018-02-14 14:00:47.703;0;2;1;24;2018-02-14 14:00:47.720;0;620599;182098;0
22222222;2018-02-14 14:00:47.700;814;2;1;41;2018-02-14 14:00:47.713;1;620598;182096;0
22222222;2018-02-14 14:00:12.150;0;1;1;24;2018-02-14 14:00:12.173;0;620560;182070;0
22222222;2018-02-14 14:00:12.150;0;1;1;21;2018-02-14 14:00:12.180;0;620562;182071;0
22222222;2018-02-14 14:00:12.143;1983;1;1;41;2018-02-14 14:00:12.167;1;620559;182051;0
22222222;2018-02-14 13:59:37.123;0;2;1;21;2018-02-14 13:59:37.140;0;620488;182057;0
22222222;2018-02-14 13:59:35.793;0;2;1;22;2018-02-14 13:59:35.807;0;620483;182056;0
22222222;2018-02-14 13:59:34.893;0;2;1;24;2018-02-14 13:59:34.910;0;620479;182054;0
22222222;2018-02-14 13:59:34.887;812;2;1;41;2018-02-14 13:59:34.903;1;620478;182052;0
22222222;2018-02-14 13:59:01.740;0;1;1;21;2018-02-14 13:59:01.757;0;620428;182028;0
22222222;2018-02-14 13:59:00.413;0;1;1;22;2018-02-14 13:59:00.427;0;620423;182026;0
22222222;2018-02-14 13:58:59.527;0;1;1;24;2018-02-14 13:58:59.547;0;620418;182025;0
22222222;2018-02-14 13:58:59.510;1981;1;1;41;2018-02-14 13:58:59.530;1;620417;182018;0
22222222;2018-02-14 13:58:24.753;0;2;1;21;2018-02-14 13:58:24.763;0;620364;182019;0
22222222;2018-02-14 13:58:23.423;0;2;1;22;2018-02-14 13:58:23.440;0;620358;182017;0
22222222;2018-02-14 13:58:22.530;0;2;1;24;2018-02-14 13:58:22.543;0;620354;182015;0
22222222;2018-02-14 13:58:22.523;810;2;1;41;2018-02-14 13:58:22.540;1;620353;182013;0
22222222;2018-02-14 13:57:49.947;0;1;1;21;2018-02-14 13:57:49.957;0;620289;181990;0
22222222;2018-02-14 13:57:48.607;0;1;1;22;2018-02-14 13:57:48.630;0;620277;181986;0
22222222;2018-02-14 13:57:47.717;0;1;1;24;2018-02-14 13:57:47.750;0;620269;181983;0
22222222;2018-02-14 13:57:47.710;1979;1;1;41;2018-02-14 13:57:47.737;1;620268;181980;0
22222222;2018-02-14 13:57:13.083;0;2;1;21;2018-02-14 13:57:13.097;0;620191;181981;0
22222222;2018-02-14 13:57:11.757;0;2;1;22;2018-02-14 13:57:11.767;0;620182;181979;0
22222222;2018-02-14 13:57:10.877;0;2;1;24;2018-02-14 13:57:10.890;0;620178;181977;0
22222222;2018-02-14 13:57:10.863;808;2;1;41;2018-02-14 13:57:10.883;1;620177;181975;0
22222222;2018-02-14 13:56:37.233;0;1;1;21;2018-02-14 13:56:37.250;0;620108;181950;0
22222222;2018-02-14 13:56:35.907;0;1;1;22;2018-02-14 13:56:35.920;0;620097;181948;0
22222222;2018-02-14 13:56:35.033;0;1;1;24;2018-02-14 13:56:35.053;0;620091;181947;0
22222222;2018-02-14 13:56:35.017;1977;1;1;41;2018-02-14 13:56:35.047;1;620090;181933;0
22222222;2018-02-14 13:56:00.217;0;2;1;21;2018-02-14 13:56:00.233;0;620042;181939;0
22222222;2018-02-14 13:55:58.873;0;2;1;22;2018-02-14 13:55:58.887;0;620038;181938;0
22222222;2018-02-14 13:55:58.010;0;2;1;24;2018-02-14 13:55:58.043;0;620033;181936;0
22222222;2018-02-14 13:55:57.993;806;2;1;41;2018-02-14 13:55:58.023;1;620032;181934;0
22222222;2018-02-14 13:55:23.507;0;1;1;21;2018-02-14 13:55:23.527;0;619970;181900;0
22222222;2018-02-14 13:55:22.167;0;1;1;22;2018-02-14 13:55:22.180;0;619966;181898;0
22222222;2018-02-14 13:55:21.273;0;1;1;24;2018-02-14 13:55:21.300;0;619962;181897;0
22222222;2018-02-14 13:55:21.267;1975;1;1;41;2018-02-14 13:55:21.290;1;619961;181895;0
22222222;2018-02-14 13:54:46.333;0;2;1;21;2018-02-14 13:54:46.347;0;619923;181896;0
22222222;2018-02-14 13:54:44.997;0;2;1;22;2018-02-14 13:54:45.020;0;619919;181894;0
22222222;2018-02-14 13:54:44.103;0;2;1;24;2018-02-14 13:54:44.123;0;619915;181892;0
22222222;2018-02-14 13:54:44.097;804;2;1;41;2018-02-14 13:54:44.113;1;619914;181890;0
22222222;2018-02-14 13:54:10.843;0;1;1;21;2018-02-14 13:54:10.877;0;619863;181860;0
22222222;2018-02-14 13:54:09.517;0;1;1;22;2018-02-14 13:54:09.530;0;619858;181858;0
22222222;2018-02-14 13:54:08.640;0;1;1;24;2018-02-14 13:54:08.660;0;619852;181856;0
22222222;2018-02-14 13:54:08.627;1973;1;1;41;2018-02-14 13:54:08.647;1;619851;181854;0
22222222;2018-02-14 13:53:33.837;0;2;1;21;2018-02-14 13:53:33.850;0;619811;181855;0
22222222;2018-02-14 13:53:32.513;0;2;1;22;2018-02-14 13:53:32.527;0;619804;181853;0
