Id	MachineId	Timestamp	EntryType	Source	Parameter	ExtendedParameter	UserComment	SignalResult	SignalStream	Parameter2	Parameter3	Parameter4	Parameter5	ErrorCategoryId
30782907	1009	2018-02-22 06:37:18.653	1	401 // VFR // 410976 // DMU 105	401 // VFR // 410976 // DMU 105			0						0
30782908	1009	2018-02-22 06:37:18.730	4	401 // VFR // 410976 // DMU 105	700919	131000, PNOZmulti-Fehler -> Für mehr Informationen bitte DMG PVIS Diagnose öffnen|510113, SPI-VS-H, Spindel geklemmt/geloest beide 0-Signal|700919, SPVS-HA-HPT, NOT-HALT|		0		131000, PNOZmulti-Fehler -> Für mehr Informationen bitte DMG PVIS Diagnose öffnen|510113, SPI-VS-H, Spindel geklemmt/geloest beide 0-Signal|700919, SPVS-HA-HPT, NOT-HALT|	Idle			0
30782911	1009	2018-02-22 06:37:19.230	15	401 // VFR // 410976 // DMU 105	FINISHED			0		FREASE.MPF	FREASE.MPF	Manual		0
30782910	1009	2018-02-22 06:37:19.230	17	401 // VFR // 410976 // DMU 105	FREASE.MPF			0		FREASE.MPF				0
30782912	1009	2018-02-22 06:37:19.290	25	401 // VFR // 410976 // DMU 105	Manual			0						0
30782913	1009	2018-02-22 06:37:19.557	17	401 // VFR // 410976 // DMU 105	FREASE.MPF			0		FREASE.MPF	FREASE.MPF			0
30782914	1009	2018-02-22 06:37:19.573	15	401 // VFR // 410976 // DMU 105	FINISHED			0		FREASE.MPF	FREASE.MPF	Manual		0
30782915	1009	2018-02-22 06:37:19.573	17	401 // VFR // 410976 // DMU 105	\WKS.DIR\SEIDLA.WPD\FREASE.MPF			0		\WKS.DIR\SEIDLA.WPD\FREASE.MPF	FREASE.MPF			0
30782916	1009	2018-02-22 06:37:19.573	17	401 // VFR // 410976 // DMU 105	FREASE.MPF			0		FREASE.MPF	FREASE.MPF			0
30782918	1009	2018-02-22 06:37:19.587	4	401 // VFR // 410976 // DMU 105	700720	131000, PNOZmulti-Fehler -> Für mehr Informationen bitte DMG PVIS Diagnose öffnen|700836, SPVS-HA-HPT, 4. Achse Klemmung Zu 0-Signal|700919, SPVS-HA-HPT, NOT-HALT|700720, SPVS-HA-HPT, Eingang Kabinentuer geschlossen 0-Signal|510113, SPI-VS-H, Spindel geklemmt/geloest beide 0-Signal|		0		131000, PNOZmulti-Fehler -> Für mehr Informationen bitte DMG PVIS Diagnose öffnen|700836, SPVS-HA-HPT, 4. Achse Klemmung Zu 0-Signal|700919, SPVS-HA-HPT, NOT-HALT|700720, SPVS-HA-HPT, Eingang Kabinentuer geschlossen 0-Signal|510113, SPI-VS-H, Spindel geklemmt/geloest beide 0-Signal|	Idle			0
