Day & Time New / On;Day & Time Acknowledged;Day & Time Gone / Off;Group;TextID;Class;Prio;I/O Node;I/O Item;Location;Username;Computer
02.02.2018 22:26;;06.02.2018 13:04;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value > Positive Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B04.WV.W2264_Grt;*;;Computer1
02.02.2018 22:26;;06.02.2018 13:04;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value < Negative Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B04.WV.W2266_Les;*;;Computer1
05.02.2018 13:47;;06.02.2018 13:04;P1B1V1.P1B1V1_LV02_LB115_B13A;Low Level;01 Equipment Fault;49;P1B1V1;.P1B1V1_LV02_LB115_B13A.FV.F7251_ExtFlt;*;;Computer1
05.02.2018 13:49;;06.02.2018 13:04;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value < Negative Fault Limit;01 Equipment Fault;49;P1B1V1;.P1B1V1_LV02_AB119_B04.FV.F2265_Les;*;;Computer1
06.02.2018 13:05;;06.02.2018 17:41;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value < Negative Fault Limit;01 Equipment Fault;49;P1B1V1;.P1B1V1_LV02_AB119_B04.FV.F2265_Les;*;;Computer1
06.02.2018 13:05;;06.02.2018 17:41;P1B1V1.P1B1V1_LV02_LB115_B13A;Low Level;01 Equipment Fault;49;P1B1V1;.P1B1V1_LV02_LB115_B13A.FV.F7251_ExtFlt;*;;Computer1
06.02.2018 13:05;;06.02.2018 17:41;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value > Positive Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B04.WV.W2264_Grt;*;;Computer1
06.02.2018 13:05;;06.02.2018 17:41;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value < Negative Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B04.WV.W2266_Les;*;;Computer1
06.02.2018 17:43;07.02.2018 08:30;07.02.2018 08:35;P1B1V1.P1B1V1_LV02_LB115_B13A;Low Level;01 Equipment Fault;49;P1B1V1;.P1B1V1_LV02_LB115_B13A.FV.F7251_ExtFlt;*;;Computer1
07.02.2018 08:28;;13.02.2018 15:33;P1B1V1.P1B1V1_PC01_A01_PAN;T01_S1260;00 Not specified;13;P1B1V1;.P1B1V1_PC01_A01_PAN.SB.S1260_CSOn;*;;Computer1
07.02.2018 08:38;;10.02.2018 05:36;P1B1V1.P1B1V1_LV02_AB119_B05;Actual Value > Positive Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B05.WV.W2264_Grt;*;;Computer1
09.02.2018 15:28;;10.02.2018 05:36;P1B1V1.P1B1V1_LV02_AB119_B04;Actual Value < Negative Warning Limit;02 Equipment Warning;29;P1B1V1;.P1B1V1_LV02_AB119_B04.WV.W2266_Les;*;;Computer1
